FID,name,source,aeroway,lat,lon
225, , ,helipad,24.830394399999999,67.409602300000003
226, , ,helipad,30.829067400000000,67.747198600000004
227, , ,helipad,27.205512700000000,69.631931199999997
228, , ,helipad,27.428037199999999,69.903254300000000
229, , ,helipad,31.520776300000001,74.394032300000006
230, , ,gate,31.519575000000000,74.410173599999993
231, , ,gate,31.519874399999999,74.410173400000005
232, , ,gate,31.520173700000001,74.410173200000003
233, , ,gate,31.520473100000000,74.410173000000000
234, , ,gate,31.520772399999998,74.410172799999998
235, , ,gate,31.521071800000001,74.410172599999996
236, , ,gate,31.521371100000000,74.410172399999993
237, , ,gate,31.521670499999999,74.410172200000005
238, , ,aerodrome,31.491167600000001,74.349417099999997
239, , ,parking_position,35.881799399999998,71.798246199999994
240, , ,parking_position,35.881788600000000,71.798181799999995
241, , ,parking_position,35.881568000000001,71.798035600000006
242, , ,holding_position,35.881867499999998,71.797718500000002
243, , ,helipad,34.792202000000003,75.081757300000007
244, , ,helipad,34.436168500000001,75.247372999999996
245, , ,helipad,33.630840300000003,72.614678100000006
246, , ,helipad,33.630500800000000,72.614688799999996
247, , ,helipad,34.624904999999998,76.476836199999994
248, , ,helipad,34.454810700000003,73.921351500000000
249, , ,helipad,34.440818200000002,73.907759999999996
250, , ,helipad,34.418840000000003,73.923473500000000
251, , ,helipad,33.991602700000001,74.269254500000002
252, , ,helipad,34.051637200000002,74.263015699999997
253, , ,helipad,33.597657200000000,74.080067600000007
254, , ,helipad,34.152906000000002,73.994565399999999
255, , ,helipad,34.343669100000000,74.169129400000003
256, , ,helipad,34.033530300000002,74.193283600000001
257, , ,helipad,33.876243500000001,74.290159599999996
258,Jinnah International Airport - Departures Terminal, ,terminal,24.899891100000001,67.167513400000004
259, , ,helipad,24.811451099999999,67.019308600000002
260, , ,helipad,24.811947700000001,67.019539300000005
261,Jinnah International Airport, ,aerodrome,24.899777199999999,67.154096899999999
262, , ,helipad,24.839299700000002,67.049041700000004
263,Airport Terminal, ,terminal,31.362718399999999,72.988426599999997
264, , ,helipad,25.751469400000001,70.281700299999997
265, , ,helipad,25.751723699999999,70.281993499999999
266, , ,helipad,34.765649500000002,72.361711200000002
267, , ,helipad,34.765909299999997,72.361854199999996
268, , ,helipad,34.765652000000003,72.361994100000004
269, , ,helipad,34.395134800000001,73.857261500000007
270, , ,helipad,34.923814000000000,76.719009900000003
271, , ,helipad,34.925238999999998,76.722706000000002
272, , ,helipad,34.929316100000001,76.746014400000007
273, ,Bing,helipad,29.539175799999999,72.248427000000007
274, , ,helipad,27.524705000000001,70.158605800000004
275, , ,helipad,24.908952200000002,66.882514200000003
276, , ,helipad,24.908355499999999,66.882827899999995
277, , ,helipad,24.887869500000001,66.935089899999994
278, , ,helipad,24.888115500000001,66.934868100000003
279, , ,helipad,24.888361400000001,66.934714000000000
280, , ,helipad,24.886779499999999,66.935373400000003
281, , ,helipad,24.886231700000000,66.935404199999994
282, , ,helipad,24.858208699999999,66.911400099999994
283, , ,helipad,24.857914399999999,66.911431500000006
284, , ,helipad,24.813533000000000,66.949096699999998
285, , ,helipad,24.813468700000001,66.949634700000004
286, , ,helipad,24.800157700000000,66.972274600000006
287, , ,helipad,24.800401300000001,66.972583499999999
288, , ,helipad,24.791778200000000,66.978496100000001
289, , ,helipad,24.791456000000000,66.978780900000004
290, , ,helipad,25.182470100000000,66.756159400000001
291, , ,helipad,25.036497900000001,67.320556400000001
292, , ,helipad,24.971391300000001,67.221449899999996
293, , ,helipad,24.972626300000002,67.219755599999999
294, , ,helipad,24.955539200000000,67.213567900000001
295, , ,helipad,24.947387100000000,67.204353800000007
296, , ,helipad,25.875979999999998,67.303406400000000
297, , ,helipad,25.876111399999999,67.302806099999998
298, , ,helipad,26.875645299999999,67.347862599999999
299, , ,helipad,26.875442300000000,67.346990099999999
300, , ,helipad,26.875834800000000,67.348803300000000
301, , ,helipad,26.859787099999998,67.150035099999997
302, , ,helipad,26.860129199999999,67.149743200000003
303, , ,helipad,25.039476199999999,67.458870200000007
304, , ,helipad,25.301159999999999,68.062283899999997
305, , ,helipad,25.189351100000000,67.861857099999995
306, , ,helipad,25.188945400000001,67.861315399999995
307, , ,helipad,25.187770600000000,67.862903200000005
308, , ,helipad,25.189653000000000,67.862531899999993
309, , ,helipad,25.188633599999999,67.862231499999993
310, , ,helipad,25.188759800000000,67.862810899999999
311, , ,helipad,25.553725000000000,68.345344999999995
312, , ,helipad,26.109101899999999,68.232971199999994
313, , ,helipad,33.730843399999998,73.101915599999998
314, , ,helipad,33.737209300000004,73.102613599999998
315, , ,helipad,33.741663199999998,73.100489400000001
316, , ,helipad,33.734648800000002,73.135610700000001
317, , ,helipad,29.324840500000001,71.825587900000002
318, , ,helipad,29.324947999999999,71.824355499999996
319, , ,helipad,29.324829800000000,71.826684799999995
320, , ,helipad,29.309286199999999,71.961866599999993
321, , ,helipad,29.256852100000000,71.751705500000000
322, , ,helipad,29.257297500000000,71.751765500000005
323, , ,helipad,29.363069400000001,71.679482600000000
324, , ,helipad,29.362901000000001,71.680104900000003
325, , ,helipad,31.983886999999999,72.174479300000002
326, , ,helipad,32.030883199999998,72.168768499999999
327, , ,helipad,32.031282900000001,72.168791499999998
328, , ,helipad,32.030503099999997,72.168756999999999
329, , ,helipad,32.030142099999999,72.168836799999994
330, , ,helipad,32.029771799999999,72.168835000000001
331, , ,helipad,35.680470200000002,75.964278399999998
332, , ,helipad,35.679831299999996,75.964694399999999
333, , ,helipad,27.132439200000000,63.312276500000003
334, , ,helipad,35.287353099999997,76.703216999999995
335, , ,helipad,30.905248799999999,74.608610299999995
