FID,Y,X,Province,School_Nam
256,30.669712360900000,67.396772291999994,Balochistan,GBPS Sharan Sahori
257,30.665160314700000,67.354011719799999,Balochistan,GBPS New Karaiz
258,30.704169273400002,67.427231669400001,Balochistan,GBPS Kakran Ziaba
259,30.619654400000002,67.465423580000007,Balochistan,GBMIDS Kozh Kach Rod Mullazai
260,30.607711672800001,67.487409710899996,Balochistan,GBMIDS Tazi Kachi
261,30.676009625999999,67.356956196499993,Balochistan,GBPS Narien
262,30.624095569400001,67.245069025099994,Balochistan,GBMIDS Bala Nigand
263,30.618972060000001,67.433508799999998,Balochistan,GBPS Zadoon
264,30.625646100000001,67.329003000000000,Balochistan,GBPS Bala Dad Haq Zai Khanozai
265,30.728361039999999,67.464615390000006,Balochistan,GBPS Spin Tangi
266,30.619136260000001,67.451825610000000,Balochistan,GBHS Yousaf Kach
267,30.638769040000000,67.344622729999998,Balochistan,GBHS Balozai
268,30.728364930000001,67.416812269999994,Balochistan,GBMIDS Bala Obeshtagi
269,30.723912859999999,67.429929070000000,Balochistan,GBMIDS Sameza
270,30.743243694299998,67.411192059499996,Balochistan,GBPS Kili Murad
271,30.750707650300001,67.401013801900007,Balochistan,GBMIDS Shahista Mahmood Zai
272,30.728051662399999,67.456446290000002,Balochistan,GBPS New Churmian
273,30.753418961400001,67.389212734400004,Balochistan,GBPS Khasohi
274,30.719737569999999,67.460905199999999,Balochistan,GBHS Churmian
275,30.661734540000001,67.332482949999999,Balochistan,GBMIDS Sharan
276,30.666866325800001,67.321658246200002,Balochistan,GBPS Zamistan
277,30.645438538800001,67.278203788499994,Balochistan,GBPS Saagi Balozai
278,30.650071772299999,67.286364892300000,Balochistan,GBPS Saagi Zamistan
279,30.703443842500000,67.357040968199996,Balochistan,GBMIDS Jahlak
280,30.690473621599999,67.352059397399998,Balochistan,GBPS Bagh Jalak
281,30.703822609600000,67.379348941900005,Balochistan,GBPS Pishi
282,30.718543004600001,67.342472400299997,Balochistan,GBMIDS Tor Tangi
283,30.721127322499999,67.384947313799998,Balochistan,GBPS Mach
284,30.660940628900001,67.334265400999996,Balochistan,GGHS Sharon
285,30.667245600000001,67.320948099999995,Balochistan,GGPS Zimeztan
286,30.662653311100001,67.350849066999999,Balochistan,GGMIDS New Karaiz
287,30.680448800000001,67.389432299999996,Balochistan,GGPS Abdul Ghafar
288,30.676778100000000,67.400798100000003,Balochistan,GGPS Murgha Zikriya Zai
289,30.604973461800000,67.227849204999998,Balochistan,GGMIDS Kozh Niganda
290,30.620701732000001,67.325014375400002,Balochistan,GGPS Saleh Zai
291,30.681938299999999,67.385582999999997,Balochistan,GGMIDS Haleem
292,30.617323272400000,67.328645466899999,Balochistan,GGMIDS Sake Zai
293,30.566234716600000,67.593632456300000,Balochistan,GGPS Amir Khan Sakhobi
294,30.538660100000001,67.205423900000000,Balochistan,GGMIDS Gowal
295,30.603318214400002,67.227476835299996,Balochistan,GBHS Kozh Nigand
296,30.574501189399999,67.187753403599999,Balochistan,GBPS Shina Khora (Surkhab)
297,30.584657164300001,67.210232745900001,Balochistan,GBPS Kach Mawali
298,30.596039830700001,67.226280150899996,Balochistan,GBPS Biyanzai
299,30.624501085799999,67.259628055600004,Balochistan,GBPS Hardo Nigand
300,30.734921088200000,67.332950059599995,Balochistan,GBPS New Churmian Walang
301,30.752909205500000,67.382046168200006,Balochistan,GBPS Narangi
302,30.714106869999998,67.441746240000001,Balochistan,GBPS Salehdin
303,30.723417229999999,67.457069540000006,Balochistan,GBPS Azizi Churmian
304,30.718207230000001,67.450510949999995,Balochistan,GBPS Shin Tangi
305,30.643865168100000,67.424349132900005,Balochistan,GBPS Sur Kach
306,30.677439576600001,67.423312307600000,Balochistan,GBPS Tor Aghbargi
307,30.653597606200002,67.403847804099996,Balochistan,GBPS Kozh Baloch
308,30.657246990000001,67.394351420000007,Balochistan,GBHS Dilsora
309,30.729466720000001,67.460054749999998,Balochistan,GBPS Odeki Aghbargi
310,30.620850000000001,67.336345399999999,Balochistan,GBPS Madrassa Bazar Khanozai
311,30.639814433800002,67.338584815700003,Balochistan,GBPS Allah Dad Zai
312,30.642166323900000,67.336952843000006,Balochistan,GBPS Khair Abad
313,30.638272880700001,67.360170580100004,Balochistan,GBPS Balozai
314,30.635716805300000,67.358333095500001,Balochistan,GBPS Umarzai
315,30.432598670000001,67.006111660000002,Balochistan,GBPS Khanan
316,30.422563005400001,66.982240249900002,Balochistan,GBPS Ghulam Jailani Poti Nasaran
317,30.493428620000000,67.122710729999994,Balochistan,GBPS Paind Khan
318,30.424030859999998,67.006460290000007,Balochistan,GBPS Mehter Zai
319,30.566955003899999,67.596526751300004,Balochistan,GBMIDS Amir Khan
320,30.591201838100002,67.588885305399998,Balochistan,GBPS Pani Shakh
321,30.589929129900000,67.603089949099996,Balochistan,GBPS Sagar Pani Shakh
322,30.591316209199999,67.564639309399993,Balochistan,GBMIDS Shudan
323,30.613350095200001,67.505779238399995,Balochistan,GBPS Killi Bahadur Khan
324,30.613259486899999,67.497061891499996,Balochistan,GBPS Killi Bahadur Khan Shina Ghara
325,30.611190162600000,67.523653898399999,Balochistan,GBPS Aqaeed Ul Islam
326,30.608713855000001,67.531009940399997,Balochistan,GBHS Rod Mulla Zai
327,30.610342374999998,67.530236458399997,Balochistan,GBPS Madrassa Banoria Warya
328,30.604942711100001,67.539541879699996,Balochistan,GBPS Sagran
329,30.605117683300001,67.548336507800002,Balochistan,GBPS Sikro Ragha
330,30.625240495400000,67.510672342000007,Balochistan,GBPS Aghbargi Shamozai
331,30.637819301299999,67.528183478900004,Balochistan,GBPS Parezah
332,30.580816408600000,67.533489055900006,Balochistan,GBPS Naseer Khan
333,30.629206499999999,67.618204700000007,Balochistan,GBPS Wardan
334,30.636906009200001,67.594888256900006,Balochistan,GBPS Wach Daroon
335,30.645978899999999,67.665805500000005,Balochistan,GBPS Dumran
336,30.629139379600002,67.579210409900000,Balochistan,GBPS Taj-Ul-Aloom Gharshinan
337,30.629682599999999,67.585591399999998,Balochistan,GBPS Nauabad Gharshinan
338,30.627530940000000,67.574657590000001,Balochistan,GBHS Gharshinan
339,30.628799099999998,67.564796799999996,Balochistan,GBPS New Taran Abadi
340,30.636503300000001,67.564396400000007,Balochistan,GBMIDS Taran Obeshtagi
341,30.396350681800001,66.986843898900005,Balochistan,GGHS Mughtian
342,30.423250500000002,67.006622800000002,Balochistan,GGPS Killi Mehther Zai (Bostan)
343,30.622194518600001,67.326136449299995,Balochistan,GGHS Khano Zai
344,30.434244300000000,67.007190899999998,Balochistan,GGHS Bostan
345,30.498766300000000,67.125305200000000,Balochistan,GGHS Khanai Baba
346,30.584254800000000,67.304402600000003,Balochistan,GGMIDS Zarghoon
347,30.609337556000000,67.523774252500004,Balochistan,GGPS Rod Malezai
348,30.612208680999998,67.493565694200001,Balochistan,GGPS Tazi Kach
349,30.591946037100001,67.591089177200004,Balochistan,GGPS Pani Shakh
