FID,fclass,name,X,Y
13519,cafe,Cafe Friends,68.338465299999996,25.412223099999999
13520,community_centre,Lab-e-Mehran Lawn/Garden,68.338915200000002,25.411895600000001
13521,restaurant,Roopa Maari Restaurant,68.338685100000006,25.409654600000000
13522,cafe,Cafe HYDRA,68.338978900000001,25.410584900000000
13523,cafe,Roopa Marri Tea Point,68.339090700000000,25.408354800000001
13524,restaurant,Mama's Kitchen Restaurant,68.339104699999993,25.408158600000000
13525,supermarket,Utility Store,68.339160699999994,25.407361399999999
13526,restaurant,Sindh Soomra Resturent,68.339172399999995,25.406985899999999
13527,community_centre,Marvi Lawn,68.339181800000006,25.406599900000000
13528,bank,MCB Bank,68.339256199999994,25.405771200000000
13529,cafe,Paratha 09,68.338958500000004,25.405593199999998
13530,hospital,Jijal Maa Hospital,68.340425600000003,25.399456000000001
13531,bank,Faysal Bank,68.339710299999993,25.398011400000001
13532,restaurant,Mr Chef,68.339405700000000,25.397872400000001
13533,hairdresser,Looks Inn Hair Salon,68.339448700000005,25.396949400000000
13534,hairdresser,Faces Hair Saloon,68.339457899999999,25.396815799999999
13535,restaurant,Mama's Kitchen Restaurant,68.340815500000005,25.390754099999999
13536,car_dealership,Najaf Motors,68.340635800000001,25.391362300000001
13537,hostel,Qasimabad Boys Hostel,68.340001200000003,25.394309700000001
13538,bakery,Mola Bux Achar & Bakers,68.339604800000004,25.394974699999999
13539,bank,Sumit Bank,68.339530499999995,25.395559800000001
13540,bank,Dubai Islamic Bank,68.339572899999993,25.395220900000002
13541,bank,NBP Islamic Bank,68.339822499999997,25.395656899999999
13542,mall,Mehran Shopping Centre,68.339151700000002,25.389998899999998
13543,bank,Allied Bank Limited,68.338416699999996,25.390646900000000
13544,bank,Askari Bank,68.338549900000004,25.390786200000001
13545,bank,First Woman Bank,68.338002000000003,25.391242600000002
13546,bank,Habib Bank Limited,68.337720500000003,25.391488599999999
13547,bank,Sindh Bank,68.337191300000001,25.391969599999999
13548,bank,Bank Al Habib,68.336727600000003,25.392228400000000
13549,college,Blue Sea High School and College,68.337482100000003,25.392962499999999
13550,bank,UBL Bank,68.333754600000006,25.394929800000000
13551,bank,Bank Alfalah,68.334477899999996,25.394141000000001
13552,restaurant,Pakwan Restaurant,68.335026099999993,25.393853100000001
13553,bank,Meezan Bank Ltd.,68.335143099999996,25.393747300000001
13554,restaurant,Haidri Restaurant,68.335344300000003,25.393559600000000
13555,bank,MCB,68.335807700000004,25.393168700000000
13556,restaurant,Pizza Hot N Spicy,68.335829399999994,25.392941199999999
13557,cafe,Hot & Cold Cafe Hyderabad,68.341841200000005,25.415851499999999
13558,bookshop,3 STAR BOOK & GENERAL STORE,68.341922600000004,25.415410399999999
13559,bank,Allied Bank Ltd,68.342060599999996,25.414707100000001
