FID,fclass,name,X,Y
2440,college,Tameer E Nau Acadmy,70.664012953099999,30.707570709999999
2441,post_office, ,70.650960549999994,30.701745241899999
2442,police, ,70.642441784100001,30.701793679400001
2443,playground,volyball,70.645678736199997,30.696434931100001
2444,park, ,70.634104294300002,30.690989540099999
2445,graveyard, ,70.724812563599997,30.586271774499998
2446,graveyard,Tibbi Ghustan,70.701215385699996,30.597839530500000
2447,restaurant,Haseeb Restaurant,73.366826290199995,33.181528116700001
2448,police,Police Station Sohawa,73.426194202100007,33.129143384899997
2449,courthouse,Sohawa Courts,73.432999411899999,33.125355764799998
2450,restaurant,Sultania,73.489991849999996,33.055599000000001
2451,park,Barket Park,73.958266372200001,32.707811241300000
2452,school, ,74.147837950200000,32.298374406299999
2453,college, ,74.145773763099996,32.298190514600002
2454,school,Government High School No. 1,74.151733279599995,32.295476839800003
2455,park, ,74.179273459200004,32.158587425699999
2456,school,Girls High School,74.220000661100002,31.979977602600002
2457,school,Government Higher Secondary School,74.190254248100004,32.145708375600002
2458,college, ,74.204003207300005,32.160598951499999
2459,pitch, ,74.201091056500005,32.160390739299999
2460,pitch,Dhoobi Ghat Ground,74.197595695600000,32.159315715300004
2461,pitch, ,74.206807071599997,32.161438861000001
2462,college,Gujranwala Medical College,74.206346783200004,32.158105496899999
2463,fast_food,KFC,74.184484550400001,32.174428055800000
2464,park,Iqbal Park,74.191501170899997,32.151143960900001
2465,park, ,74.192133693200006,32.147222028400002
2466,hospital,WAPDA Hospital,74.193878517100003,32.143914451000001
2467,graveyard, ,74.143852961700006,32.309125786999999
2468,graveyard,Mashriqi Qadeemi Qabrastan,74.150062010100001,32.304499744300003
2469,school, ,74.181046353599996,32.173450558500001
2470,park, ,74.178867464400000,32.171215652500003
2471,park, ,74.181245305000004,32.171909918099999
2472,graveyard, ,74.174592565200001,32.171968564899998
2473,college, ,74.175346400899997,32.174552704900002
2474,university, ,74.192721790400000,32.204833793699997
2475,school,Pakistan International Public School,74.190221186200006,32.204060928799997
2476,post_office,Pakistan Post,74.188138177900001,32.161527873700003
2477,park,Jinnah Park,74.194161159800004,32.124575018100003
2478,park, ,74.185332239299996,32.093393231500002
2479,park, ,74.183258858399995,32.093307299199999
2480,park, ,74.187909761100002,32.094652087100002
2481,park, ,74.186036342199998,32.096867571200001
2482,park, ,74.181486862000000,32.096816666000002
2483,mall,Kings Mall,74.189542969200005,32.102577600700002
2484,pitch, ,74.145197174900005,32.235713344700002
2485,park, ,74.145180577700003,32.231212980099997
2486,park, ,74.145987056199999,32.231211498500002
2487,supermarket, ,74.146489071900007,32.231227926300001
2488,supermarket, ,74.146812334700002,32.231233721700001
2489,park, ,74.142206160900002,32.232687897799998
2490,park, ,74.146224697299999,32.233094288499998
2491,park, ,74.146738687500005,32.227363316199998
2492,park, ,74.146351933299997,32.226347099999998
2493,park, ,74.151784840500000,32.226321860100001
2494,park, ,74.135268804600003,32.250693101200000
2495,golf_course,Cannt Golf Course,74.129072193799999,32.241968418399999
2496,sports_centre, ,74.109505302000002,32.246439090899997
2497,park, ,74.099576306299994,32.248911107700003
