FID,name,aeroway,X,Y
247, ,taxiway,68.783014899999998,27.731322800000001
248, ,runway,70.553925599999999,30.334112300000001
249, ,taxiway,71.558996699999994,32.555314400000000
250, ,taxiway,71.555799500000006,32.554030200000000
251, ,taxiway,71.585496899999995,32.568082199999999
252, ,taxiway,71.563369699999996,32.558926300000003
253, ,taxiway,71.553782499999997,32.559582599999999
254, ,taxiway,71.586483999999999,32.568407700000002
255, ,runway,71.555713600000004,32.557141000000001
256, ,taxiway,71.556614900000000,32.554409999999997
257, ,taxiway,71.555713600000004,32.557141000000001
258, ,taxiway,71.558991300000002,32.567373300000000
259, ,taxiway,71.577858100000000,32.565665099999997
260, ,taxiway,71.584874600000006,32.569438499999997
261, ,taxiway,71.554659400000006,32.558228700000001
262, ,taxiway,70.519405899999995,32.973152499999998
263, ,runway,70.515080900000001,32.969301899999998
264, ,runway,69.161352800000003,27.819279699999999
265, ,runway,73.643500399999994,33.045325099999999
266, ,taxiway,67.037691199999998,30.236216100000000
267, ,runway,66.740071099999994,29.932793900000000
268, ,runway,74.124285099999994,32.234080100000000
269, ,taxiway,74.133339000000007,32.240475400000001
270, ,taxiway,74.131854099999998,32.236788799999999
271, ,taxiway,74.133170800000002,32.237701600000001
272, ,taxiway,74.133692400000001,32.239683499999998
273, ,runway,63.132654600000002,26.258320600000001
274, ,runway,63.123127400000001,26.250045700000001
275, ,runway,74.379093499999996,32.549472000000002
276, ,taxiway,74.363523099999995,32.535440999999999
277, ,taxiway,66.948072400000001,30.243546200000001
278, ,taxiway,66.949969999999993,30.239150299999999
279, ,taxiway,66.948153399999995,30.240478000000000
280, ,taxiway,66.953864600000003,30.240021800000001
281, ,runway,73.026808500000001,33.567481899999997
282, ,taxiway,73.029769700000003,33.561670900000003
283, ,taxiway,73.039176299999994,33.553466299999997
284,New Islamabad Airport,runway,72.804959499999995,33.551381999999997
285, ,taxiway,73.101686599999994,33.610854099999997
286, ,taxiway,73.084809500000006,33.615310299999997
287, ,taxiway,73.083852100000001,33.617390899999997
288, ,taxiway,73.085131599999997,33.616453999999997
289, ,taxiway,73.083973400000005,33.617069399999998
290, ,taxiway,73.087431300000006,33.621823499999998
291, ,taxiway,73.085530300000002,33.621207800000001
292, ,taxiway,74.400548700000002,31.516616100000000
293, ,taxiway,74.403517899999997,31.523790699999999
294, ,taxiway,74.394706900000003,31.519090500000001
295, ,taxiway,74.394726300000002,31.522192199999999
296, ,runway,74.687060700000004,32.235463699999997
297, ,runway,75.120128699999995,32.201730200000000
298, ,runway,74.058184199999999,32.634408600000000
299, ,runway,74.065100200000003,32.611159100000002
300, ,taxiway,74.065100200000003,32.611159100000002
301, ,taxiway,74.362131199999993,32.534186599999998
302, ,taxiway,73.034526799999995,33.559898500000003
303, ,taxiway,73.036834900000002,33.561444999999999
304, ,taxiway,73.039519999999996,33.561359099999997
305, ,taxiway,67.112599500000002,24.879729300000001
306, ,runway,72.786810099999997,32.899679399999997
307, ,taxiway,72.783201899999995,32.900382800000003
308, ,taxiway,72.779133200000004,32.906306100000002
309, ,taxiway,72.763116400000001,32.917688599999998
310,M1,runway,72.441001600000007,33.976093499999998
311, ,taxiway,72.458440800000005,33.948535600000000
312, ,taxiway,72.441001600000007,33.976093499999998
313, ,runway,72.846391400000002,33.546831400000002
314, ,runway,73.023525000000006,32.625030700000003
315, ,taxiway,72.724029700000003,31.993672400000001
316, ,runway,75.522048600000005,35.343924500000000
317, ,taxiway,73.797839300000007,33.848538900000001
318, ,taxiway,73.797996600000005,33.848280699999997
319, ,taxiway,73.799086900000006,33.848061899999998
320, ,taxiway,68.450849399999996,28.282531299999999
321, ,runway,68.458004700000004,28.272684099999999
322, ,runway,68.459304599999996,28.273411800000002
323, ,taxiway,68.459304599999996,28.273411800000002
324, ,taxiway,63.028647300000003,25.986205399999999
325, ,runway,61.647519400000000,29.048302899999999
326, ,taxiway,68.878554800000003,26.966831200000001
327, ,taxiway,68.879855699999993,26.966429000000002
328, ,runway,68.874571599999996,26.960930699999999
329, ,taxiway,69.152713899999995,27.199993400000000
330, ,taxiway,69.152775700000007,27.201222099999999
331, ,taxiway,69.153038800000004,27.200496099999999
332, ,runway,69.159283000000002,27.197828800000000
333, ,taxiway,70.275592900000007,28.371180899999999
334, ,taxiway,70.285337600000005,28.393809099999999
335, ,taxiway,70.283342399999995,28.397388500000002
336, ,taxiway,70.285734800000000,28.394165600000001
337, ,taxiway,70.285874300000003,28.394670600000001
338, ,taxiway,70.284702400000000,28.395078900000001
339, ,taxiway,70.282127799999998,28.393244800000002
340, ,taxiway,70.281808299999994,28.392166100000001
341, ,taxiway,70.284318499999998,28.391144100000002
342, ,taxiway,70.281880099999995,28.392408700000001
343, ,runway,69.596097000000000,28.465919199999998
344, ,taxiway,68.441413900000001,28.295515300000002
345, ,taxiway,68.451982500000000,28.293385199999999
346, ,taxiway,68.459202899999994,28.273551500000000
347, ,taxiway,68.455753000000001,28.276291799999999
348, ,taxiway,68.459028599999996,28.273269200000001
349, ,taxiway,68.445721500000005,28.292074299999999
350, ,taxiway,68.451641499999994,28.283940900000001
351, ,taxiway,68.444300499999997,28.292002600000000
352, ,taxiway,68.444171600000004,28.291720600000001
353, ,taxiway,68.452249800000004,28.283501500000000
354, ,taxiway,68.445234099999993,28.292215299999999
355, ,taxiway,68.451313499999998,28.282467300000000
356, ,taxiway,68.453880799999993,28.281255000000002
357, ,taxiway,68.443856999999994,28.292153500000001
358, ,taxiway,68.445406599999998,28.292506899999999
359, ,taxiway,68.443682699999997,28.291860799999998
360, ,taxiway,68.445851899999994,28.292356999999999
361, ,taxiway,68.453814100000002,28.280955899999999
362, ,taxiway,68.451245599999993,28.284484899999999
363, ,taxiway,68.452180200000001,28.283200799999999
364, ,taxiway,68.443863300000004,28.295393000000001
365, ,taxiway,68.440376599999993,28.295559300000001
366, ,taxiway,68.441413900000001,28.295515300000002
367, ,taxiway,68.439500499999994,28.295921499999999
368, ,taxiway,68.440376599999993,28.295559300000001
369, ,taxiway,68.440376599999993,28.295559300000001
370, ,taxiway,68.439500499999994,28.295921499999999
371, ,runway,68.459513000000001,28.270642700000000
372, ,runway,68.439814100000007,28.297750300000001
373, ,taxiway,68.366314000000003,25.318249000000002
374, ,runway,68.368324700000002,25.322055800000001
375, ,taxiway,69.086976800000002,25.690851500000001
376, ,taxiway,69.069672400000002,25.676696400000001
377, ,taxiway,69.067290600000007,25.677615299999999
378, ,taxiway,69.067967100000004,25.677588199999999
379, ,runway,69.060452400000003,25.671444500000000
380, ,runway,69.083776099999994,25.692465599999998
381, ,taxiway,69.087777299999999,25.688454900000000
382, ,taxiway,69.085108099999999,25.691235400000000
383, ,taxiway,69.085112100000003,25.690611700000002
384, ,taxiway,69.086781599999995,25.684508699999999
385, ,taxiway,69.083341799999999,25.692074399999999
386, ,taxiway,69.085996899999998,25.691319600000000
387, ,runway,69.774292200000005,25.527874700000002
388, ,taxiway,69.085891700000005,25.691412199999998
389, ,taxiway,69.087195500000007,25.684376100000001
390, ,taxiway,69.087092900000002,25.684223500000002
391, ,taxiway,69.086901900000001,25.691116900000001
392, ,taxiway,69.088194500000000,25.688515500000001
393, ,taxiway,69.088114899999994,25.686601599999999
394, ,taxiway,69.088060400000003,25.686432700000001
395, ,taxiway,69.088149299999998,25.688687200000000
396, ,taxiway,69.087817400000006,25.688616100000001
397, ,taxiway,69.060882199999995,25.673350200000002
398, ,taxiway,69.062017999999995,25.674077100000002
399, ,taxiway,69.060963900000004,25.673609800000001
400, ,taxiway,69.061672700000003,25.673864699999999
401, ,taxiway,69.083549899999994,25.693770199999999
402, ,taxiway,69.082739200000006,25.692739700000001
403, ,taxiway,69.083266199999997,25.693692100000000
404, ,taxiway,69.082981000000004,25.693055699999999
405, ,taxiway,69.082981300000000,25.692877299999999
406, ,taxiway,62.334576200000001,25.235742699999999
407, ,taxiway,62.337363500000002,25.234194200000001
408, ,runway,62.367921500000001,25.098851400000001
409, ,runway,68.384317100000004,26.205578500000001
410, ,runway,68.395820200000003,26.233289400000000
411, ,taxiway,69.463906399999999,31.358300799999999
412, ,taxiway,70.888377300000002,31.910681499999999
413, ,taxiway,71.513109200000002,33.995339100000002
414, ,taxiway,72.151004700000001,30.077117999999999
415, ,runway,72.157117299999996,30.078026500000000
416, ,runway,73.893843700000005,32.818939899999997
417, ,runway,69.579993900000005,32.305036000000001
418, ,taxiway,74.330919600000001,35.918044600000002
419, ,taxiway,74.331936200000001,35.918972199999999
420, ,taxiway,71.518630099999996,33.992893600000002
421, ,runway,70.709966300000005,25.008731099999999
422, ,runway,70.615163600000002,25.662554499999999
423, ,runway,69.833769300000000,32.696002100000001
424, ,taxiway,74.792350700000000,31.697825699999999
425, ,taxiway,74.791569800000005,31.700244999999999
426, ,taxiway,74.792515100000003,31.718255700000000
427, ,taxiway,74.797803700000003,31.708880700000002
428, ,taxiway,74.799465699999999,31.701818299999999
429, ,taxiway,74.807292000000004,31.710153800000001
430, ,taxiway,74.795769399999998,31.709460600000000
431, ,taxiway,74.801786300000003,31.697295600000000
432, ,taxiway,74.804647500000002,31.696468899999999
433, ,taxiway,74.800092899999996,31.700528100000000
434, ,taxiway,74.799887999999996,31.694968500000002
435, ,taxiway,74.791492700000006,31.702454599999999
436, ,taxiway,74.800299800000005,31.695805700000001
437, ,taxiway,74.797221199999996,31.710088700000000
438, ,taxiway,74.800708799999995,31.699261300000000
439, ,taxiway,74.803164800000005,31.704728599999999
440, ,taxiway,74.804582999999994,31.696853900000001
441, ,taxiway,74.800550900000005,31.709834300000001
442, ,taxiway,74.803020399999994,31.697533199999999
443, ,taxiway,74.793827500000006,31.717126000000000
444, ,taxiway,74.800944700000002,31.694852000000001
445, ,taxiway,74.793598500000002,31.717600999999998
446, ,taxiway,74.794402399999996,31.711400099999999
447, ,taxiway,74.797367499999993,31.708723500000001
448, ,taxiway,74.793379400000006,31.695813000000001
449, ,taxiway,74.794611300000000,31.694731699999998
450, ,taxiway,74.792920400000000,31.698943499999999
451, ,taxiway,74.803418600000001,31.696630500000001
452, ,taxiway,74.793176799999998,31.702041500000000
453, ,taxiway,74.799861899999996,31.703550400000001
454, ,taxiway,74.794889600000005,31.693656799999999
455, ,taxiway,74.791047100000000,31.701927900000001
456, ,taxiway,74.796408400000004,31.695424899999999
457, ,taxiway,74.793150800000006,31.718529199999999
458, ,taxiway,74.804569400000005,31.697758499999999
459, ,taxiway,74.792981400000002,31.696563099999999
460, ,taxiway,74.792369300000004,31.702774500000000
461, ,taxiway,74.793650999999997,31.702679600000000
462,16/34,runway,74.802902000000003,31.697794699999999
463, ,taxiway,74.349122600000001,31.490443899999999
464, ,taxiway,74.350623499999998,31.490973100000001
465, ,taxiway,71.517133299999998,33.980668799999997
466, ,taxiway,71.515889599999994,33.999525800000001
467, ,taxiway,71.515971399999998,34.000039100000002
468, ,taxiway,71.515665400000003,33.998422900000001
469, ,taxiway,71.516277500000001,33.998484200000000
470, ,taxiway,71.517284300000000,33.983948499999997
471, ,taxiway,71.519658399999997,33.980373299999997
472, ,taxiway,71.519145899999998,33.980093900000000
473, ,taxiway,71.519487799999993,33.981403000000000
474, ,taxiway,71.519593999999998,33.980900800000001
475, ,taxiway,71.518467700000002,33.979666600000002
476, ,taxiway,71.517894600000005,33.979681300000003
477, ,taxiway,71.519447200000002,33.982116699999999
478, ,taxiway,71.519496200000006,33.982655800000003
479, ,runway,70.059435399999998,33.026354800000000
480, ,taxiway,70.567021299999993,27.867843799999999
481, ,taxiway,67.038684200000006,30.234737800000001
482, ,taxiway,67.042855200000005,30.233251400000000
483, ,taxiway,67.043373900000006,30.239122999999999
484, ,runway,72.314014299999997,31.902596200000001
485, ,runway,72.661658700000004,32.053203500000002
486, ,runway,72.682449899999995,32.032374099999998
487, ,runway,72.662212999999994,32.053461100000000
488, ,runway,72.253469499999994,33.532773400000004
489, ,taxiway,75.544317699999993,35.331917799999999
490, ,taxiway,75.546332300000003,35.332992300000001
491, ,runway,70.485775500000003,29.971378999999999
492, ,taxiway,70.485618000000002,29.960677900000000
493, ,taxiway,70.486155800000006,29.961100399999999
494, ,taxiway,72.147982299999995,30.104152200000001
495, ,taxiway,72.150782100000001,30.076792200000000
496, ,taxiway,72.147799000000006,30.080732900000001
